Timestamp,Dialogue,Speaker,Start Time,TextBlob_Score,VADER_Score,Google_Score
"00:01:32,993 --> 00:01:35,596",PAUL?,Laura,1900-01-01 00:01:32.993,0.0,0.0,0.0
"00:01:37,998 --> 00:01:40,601",PAUL?,Laura,1900-01-01 00:01:37.998,0.0,0.0,0.0
"00:01:40,701 --> 00:01:43,304",( theme music playing ),nan,1900-01-01 00:01:40.701,0.0,0.2023,0.10000000149011612
"00:02:00,454 --> 00:02:03,524","SORRY. UM, YOU SAID THAT IT--",Paul,1900-01-01 00:02:00.454,-0.5,-0.0772,-0.6000000238418579
"00:02:03,624 --> 00:02:06,194",THAT IT HAPPENED IN THE KITCHEN?,Paul,1900-01-01 00:02:03.624,0.0,0.0,-0.30000001192092896
"00:02:06,294 --> 00:02:08,662","NO, IT STARTED IN THE KITCHEN.",Laura,1900-01-01 00:02:06.294,0.0,0.0,-0.699999988079071
"00:02:08,762 --> 00:02:10,097",ARE YOU LISTENING TO ME?,Laura,1900-01-01 00:02:08.762,0.0,0.0,-0.699999988079071
"00:02:10,198 --> 00:02:11,932","YES, YES, I AM.",Paul,1900-01-01 00:02:10.198,0.0,0.6597,0.6000000238418579
"00:02:12,032 --> 00:02:14,668",I SAID I WANTED TO DO IT RIGHT THERE ON THE COUNTER.,Laura,1900-01-01 00:02:12.032,0.2857142857142857,0.0,-0.20000000298023224
"00:02:14,768 --> 00:02:16,837","SO WHEN HE PICKED ME UP, I THOUGHT, ""OKAY,""",Laura,1900-01-01 00:02:14.768,0.5,0.2263,-0.20000000298023224
"00:02:16,937 --> 00:02:19,840","BUT NO, HE TOOK ME INTO THE BEDROOM AND HE...",Laura,1900-01-01 00:02:16.937,0.0,0.0,-0.800000011920929
"00:02:19,940 --> 00:02:22,843","PUT ME DOWN EVER SO GENTLY LIKE I WAS, I DON'T KNOW,",Laura,1900-01-01 00:02:19.940,0.022222222222222227,0.768,-0.4000000059604645
"00:02:22,943 --> 00:02:25,413",A PORCELAIN VASE OR SOMETHING.,Laura,1900-01-01 00:02:22.943,0.0,0.0,-0.10000000149011612
"00:02:25,513 --> 00:02:28,048","EVERYTHING WAS VERY CAUTIOUS, HESITANT--",Laura,1900-01-01 00:02:25.513,0.2,-0.4536,0.5
"00:02:28,148 --> 00:02:30,083",LIKE HE DIDN'T KNOW WHAT TO DO.,Laura,1900-01-01 00:02:28.148,0.0,0.3612,-0.800000011920929
"00:02:30,184 --> 00:02:33,086",MAYBE HE DIDN'T KNOW WHAT TO DO WITH SOMEONE WHO WASN'T HIS WIFE.,Paul,1900-01-01 00:02:30.184,0.0,0.0,-0.699999988079071
"00:02:33,187 --> 00:02:34,988","YEAH, HE KEPT TELLING ME",Laura,1900-01-01 00:02:33.187,0.0,0.296,0.6000000238418579
"00:02:35,088 --> 00:02:36,957","HE HASN'T DONE IT WITH ANYONE BUT HIS WIFE FOR 10 YEARS,",Laura,1900-01-01 00:02:35.088,0.0,0.0,0.0
"00:02:37,057 --> 00:02:39,227",AND HARDLY THEN.,Laura,1900-01-01 00:02:37.057,-0.2916666666666667,0.0,-0.10000000149011612
"00:02:40,994 --> 00:02:43,264","IT WAS VERY SWEET, ACTUALLY.",Laura,1900-01-01 00:02:40.994,0.22749999999999998,0.5095,0.8999999761581421
"00:02:44,198 --> 00:02:46,099",HE IMITATED ME.,Laura,1900-01-01 00:02:44.198,0.0,0.0,0.0
"00:02:46,200 --> 00:02:49,270","HE DID EVERYTHING I DID. I TOOK OFF HIS SHIRT,",Laura,1900-01-01 00:02:46.200,0.0,0.0,0.10000000149011612
