Timestamp,Dialogue,Speaker,Start Time,TextBlob_Score,VADER_Score,Google_Score
"00:02:21,942 --> 00:02:23,744",( panting ) I'M REALLY SORRY.,Laura,1900-01-01 00:02:21.942,-0.5,-0.4694,-0.8999999761581421
"00:02:23,844 --> 00:02:25,546",YOU WOULDN'T BELIEVE WHAT JUST HAPPENED TO ME.,Laura,1900-01-01 00:02:23.844,0.0,0.0,-0.800000011920929
"00:02:25,646 --> 00:02:28,282",I ALMOST DIDN'T MAKE IT HERE AT ALL.,Laura,1900-01-01 00:02:25.646,0.0,0.0,-0.800000011920929
"00:02:29,583 --> 00:02:31,452",GOD!,Laura,1900-01-01 00:02:29.583,0.0,0.3382,0.5
"00:02:31,552 --> 00:02:33,821",I'VE GOTTA CALM DOWN FIRST.,Laura,1900-01-01 00:02:31.552,0.1314814814814815,0.3182,0.0
"00:02:33,921 --> 00:02:37,358","CAN I GET SOME WATER, PLEASE?",Laura,1900-01-01 00:02:33.921,0.0,0.3182,-0.20000000298023224
,SURE.,Paul,1900-01-01 00:02:33.921,0.5,0.3182,0.20000000298023224
"00:02:44,698 --> 00:02:46,600","WHAT, WERE YOU GOING TO PUNISH ME FOR BEING LATE?",Laura,1900-01-01 00:02:44.698,-0.3,-0.5267,-0.699999988079071
"00:02:46,700 --> 00:02:48,469","OH, SORRY.",Paul,1900-01-01 00:02:46.700,-0.5,-0.0772,-0.800000011920929
"00:02:48,569 --> 00:02:51,004",I DON'T KNOW HOW THAT GOT THERE.,Paul,1900-01-01 00:02:48.569,0.0,0.0,-0.5
"00:02:51,104 --> 00:02:53,574",IT'S YOURS?,Laura,1900-01-01 00:02:51.104,0.0,0.0,-0.10000000149011612
"00:02:53,674 --> 00:02:56,143",YEAH.,Paul,1900-01-01 00:02:53.674,0.0,0.296,0.8999999761581421
"00:02:56,244 --> 00:02:58,679",I THOUGHT SOMEONE LEFT IT HERE.,Laura,1900-01-01 00:02:56.244,0.0,0.0,-0.6000000238418579
"00:03:10,958 --> 00:03:13,160",SO WHAT HAPPENED?,Paul,1900-01-01 00:03:10.958,0.0,0.0,-0.5
"00:03:13,261 --> 00:03:15,429",WHY ARE YOU 25 MINUTES LATE?,Paul,1900-01-01 00:03:13.261,-0.3,0.0,-0.699999988079071
"00:03:15,529 --> 00:03:18,031",RIGHT.,Laura,1900-01-01 00:03:15.529,0.2857142857142857,0.0,0.30000001192092896
"00:03:18,131 --> 00:03:21,635","WELL, I TOOK A CAB HERE. WE'RE FLYING DOWN MADISON, RIGHT,",Laura,1900-01-01 00:03:18.131,0.06507936507936507,0.2732,-0.20000000298023224
"00:03:21,735 --> 00:03:24,605",AND ABOUT 200 FEET AWAY FROM ME IS THIS DOG.,Laura,1900-01-01 00:03:21.735,0.0,0.0,-0.800000011920929
"00:03:24,705 --> 00:03:27,174",SHE-- HE-- IT TRIES TO CROSS THE STREET.,Laura,1900-01-01 00:03:24.705,-0.05,0.0,0.0
"00:03:27,275 --> 00:03:30,344","YOU KNOW, IT'S IMPOSSIBLE TO CROSS THAT STRETCH OF MADISON, IMPOSSIBLE.",Laura,1900-01-01 00:03:27.275,-0.4444444444444444,0.0,-0.800000011920929
"00:03:30,444 --> 00:03:32,212","AND OF COURSE, HE GETS RUN OVER.",Laura,1900-01-01 00:03:30.444,0.0,0.0,-0.699999988079071
"00:03:32,313 --> 00:03:34,748","WELL, NOT RUN OVER-- HIT.",Laura,1900-01-01 00:03:32.313,0.0,0.2732,-0.20000000298023224
"00:03:34,848 --> 00:03:37,485","THE CAR IN FRONT OF US HIT HIM, SO HE RAN INTO THE MIDDLE OF THE STREET.",Laura,1900-01-01 00:03:34.848,0.0,0.0,-0.10000000149011612
