Timestamp,Dialogue,Speaker,Start Time,TextBlob_Score,VADER_Score,Google_Score
"00:01:57,385 --> 00:01:59,587",( cell phone ringing ),nan,1900-01-01 00:01:57.385,0.0,0.0,0.0
"00:02:02,156 --> 00:02:05,193","YES, HELLO.",Laura,1900-01-01 00:02:02.156,0.0,0.4019,0.10000000149011612
"00:02:05,293 --> 00:02:08,196","NO, I'M ON MY WAY SOMEWHERE.",Laura,1900-01-01 00:02:05.293,0.0,0.0,-0.4000000059604645
"00:02:08,296 --> 00:02:10,130","NO, NOT TO THE WARD.",Laura,1900-01-01 00:02:08.296,0.0,0.0,-0.800000011920929
"00:02:11,799 --> 00:02:14,435","NO, ABSOLUTELY NOT.",Laura,1900-01-01 00:02:11.799,-0.1,0.0,-0.800000011920929
"00:02:14,535 --> 00:02:16,437","BECAUSE HIS TEMPERATURE IS SLIGHTLY UP,",Laura,1900-01-01 00:02:14.535,-0.16666666666666666,0.0,-0.30000001192092896
"00:02:16,537 --> 00:02:19,407",AND I DON'T WANT IT TO GET OUT OF HAND.,Laura,1900-01-01 00:02:16.537,0.0,0.4548,-0.699999988079071
"00:02:19,507 --> 00:02:22,142",JUST TELL THEM TO TAKE CARE OF HIM UNTIL I GET THERE.,Laura,1900-01-01 00:02:19.507,0.0,0.4939,-0.20000000298023224
"00:02:22,243 --> 00:02:24,412",JUST KEEP AN EYE ON HIS FEVER.,Laura,1900-01-01 00:02:22.243,0.0,0.0,-0.5
"00:02:25,746 --> 00:02:27,448",IN ABOUT 90 MINUTES.,Laura,1900-01-01 00:02:25.746,0.0,0.0,0.20000000298023224
"00:02:28,916 --> 00:02:32,420","LOOK, IT'S-- IT'S IMPORTANT. CAN I COUNT ON YOU?",Laura,1900-01-01 00:02:28.916,0.4,0.2023,0.10000000149011612
"00:02:33,687 --> 00:02:36,557","OKAY. OKAY, BYE.",Laura,1900-01-01 00:02:33.687,0.5,0.4215,0.0
"00:02:37,858 --> 00:02:39,893",HI. ,Laura,1900-01-01 00:02:37.858,0.0,0.0,0.0
,HI,Paul,1900-01-01 00:02:37.858,0.0,0.0,0.30000001192092896
"00:02:41,128 --> 00:02:44,665","HERE, FOR YOU. ",Laura,1900-01-01 00:02:41.128,0.0,0.0,0.30000001192092896
, OH. WHAT IS IT?,Paul,1900-01-01 00:02:41.128,0.0,0.0,-0.10000000149011612
"00:02:44,765 --> 00:02:48,836",THERE'S A FARMER'S MARKET ACROSS THE STREET FROM THE HOSPITAL.,Laura,1900-01-01 00:02:44.765,0.0,0.0,-0.20000000298023224
"00:02:48,936 --> 00:02:51,405",MAPLE SYRUP.,Paul,1900-01-01 00:02:48.936,0.0,0.0,0.20000000298023224
"00:02:51,505 --> 00:02:53,407",IT'S VERMONT'S FINEST.,Laura,1900-01-01 00:02:51.505,0.0,0.0,-0.20000000298023224
,THANKS.,Paul,1900-01-01 00:02:51.505,0.2,0.4404,0.800000011920929
"00:02:53,507 --> 00:02:56,577","SURE. YOUR KIDS EAT PANCAKES, RIGHT?",Laura,1900-01-01 00:02:53.507,0.39285714285714285,0.3182,0.0
"00:02:57,478 --> 00:02:58,846",YEAH.,Paul,1900-01-01 00:02:57.478,0.0,0.296,0.8999999761581421
"00:03:03,984 --> 00:03:05,886",COME ON IN.,Paul,1900-01-01 00:03:03.984,0.0,0.0,0.20000000298023224
"00:03:05,986 --> 00:03:08,356",THANKS.,Laura,1900-01-01 00:03:05.986,0.2,0.4404,0.800000011920929
"00:03:12,426 --> 00:03:14,495",THANKS FOR SEEING ME.,Laura,1900-01-01 00:03:12.426,0.2,0.4404,0.699999988079071
"00:03:14,595 --> 00:03:16,264","WHEN I WAS DIALING YOUR NUMBER THIS MORNING,",Laura,1900-01-01 00:03:14.595,0.0,0.0772,-0.4000000059604645
"00:03:16,364 --> 00:03:17,565","I THOUGHT, ""SHIT, IT'S NOT EVEN 8:00.",Laura,1900-01-01 00:03:16.364,-0.2,-0.6523,-0.6000000238418579
"00:03:17,665 --> 00:03:19,400","I PROBABLY WOKE EVERYONE UP.""",Laura,1900-01-01 00:03:17.665,0.0,0.0,0.30000001192092896
"00:03:19,500 --> 00:03:22,670","PLEASE, THIS PLACE IS A CIRCUS BY 8:00.",Paul,1900-01-01 00:03:19.500,0.0,0.4648,-0.30000001192092896
"00:03:24,972 --> 00:03:26,974",I HAD NO ONE ELSE TO TALK TO.,Laura,1900-01-01 00:03:24.972,0.0,-0.296,-0.5
