Timestamp,Dialogue,Speaker,Start Time,TextBlob_Score,VADER_Score,Google_Score
"00:01:56,784 --> 00:01:58,752",I'M SORRY.,Laura,1900-01-01 00:01:56.784,-0.5,-0.0772,-0.8999999761581421
"00:02:05,993 --> 00:02:08,462","LAURA, I THINK THAT",Paul,1900-01-01 00:02:05.993,0.0,0.0,0.20000000298023224
"00:02:08,562 --> 00:02:12,700",WE NEED TO DISCUSS IN A LITTLE GREATER DETAIL,Paul,1900-01-01 00:02:08.562,0.15625,0.2975,-0.5
"00:02:12,800 --> 00:02:14,268",YOUR ENDING THERAPY.,Paul,1900-01-01 00:02:12.800,0.0,0.0,0.0
"00:02:14,368 --> 00:02:16,837","WE'RE NOT STOPPING YET,",Paul,1900-01-01 00:02:14.368,0.0,0.1139,-0.699999988079071
"00:02:16,937 --> 00:02:18,472","BUT IN ORDER TO DO IT GRADUALLY,",Paul,1900-01-01 00:02:16.937,0.0,0.0,-0.30000001192092896
"00:02:18,572 --> 00:02:22,410",WE HAVE TO CREATE WHAT WE CALL A TIMELINE.,Paul,1900-01-01 00:02:18.572,0.0,0.2732,-0.6000000238418579
"00:02:22,510 --> 00:02:25,879",NO TIMELINE. WE'RE FINISHING TODAY.,Laura,1900-01-01 00:02:22.510,0.0,-0.296,-0.30000001192092896
"00:02:28,048 --> 00:02:29,883","YEAH, TODAY.",Laura,1900-01-01 00:02:28.048,0.0,0.296,0.800000011920929
"00:02:29,983 --> 00:02:32,453",THIS IS OUR LAST SESSION.,Laura,1900-01-01 00:02:29.983,0.0,0.0,-0.6000000238418579
"00:02:42,196 --> 00:02:44,565",GOOD.,Laura,1900-01-01 00:02:42.196,0.7,0.4404,0.8999999761581421
"00:02:44,665 --> 00:02:46,800",FEELS GOOD.,Laura,1900-01-01 00:02:44.665,0.7,0.4404,0.8999999761581421
"00:02:47,968 --> 00:02:51,639","RESOLVED, I GUESS.",Laura,1900-01-01 00:02:47.968,0.0,0.1779,0.10000000149011612
"00:02:51,739 --> 00:02:53,574","I WAS A LITTLE NERVOUS ABOUT TELLING YOU,",Laura,1900-01-01 00:02:51.739,-0.1875,-0.204,-0.30000001192092896
"00:02:53,674 --> 00:02:56,644","BUT NOW THAT THAT'S OVER, I FEEL BETTER, RELIEVED,",Laura,1900-01-01 00:02:53.674,0.5,0.8047,0.0
"00:02:56,744 --> 00:03:00,681",( sighs ) MAYBE A LITTLE TIRED.,Laura,1900-01-01 00:02:56.744,-0.29375,-0.6216,-0.10000000149011612
"00:03:02,216 --> 00:03:05,753",AND...,Laura,1900-01-01 00:03:02.216,0.0,0.0,-0.10000000149011612
"00:03:05,853 --> 00:03:07,888",AND SAD. HOW ABOUT YOU?,Laura,1900-01-01 00:03:05.853,-0.5,-0.4767,-0.5
"00:03:07,988 --> 00:03:10,558",HOW DO YOU FEEL?,Laura,1900-01-01 00:03:07.988,0.0,0.0,-0.10000000149011612
"00:03:10,658 --> 00:03:13,427","I'M SORRY, IS THAT NOT OKAY FOR ME TO ASK?",Laura,1900-01-01 00:03:10.658,-0.375,-0.242,-0.8999999761581421
"00:03:13,527 --> 00:03:15,529","NO, IT'S PERFECTLY OKAY.",Paul,1900-01-01 00:03:13.527,0.5,0.7269,-0.10000000149011612
"00:03:15,629 --> 00:03:19,533","OH, GOOD, SO... TELL ME.",Laura,1900-01-01 00:03:15.629,0.7,0.4404,0.10000000149011612
"00:03:21,869 --> 00:03:24,372","WELL, TO BE HONEST,",Paul,1900-01-01 00:03:21.869,0.6,0.6597,0.800000011920929
"00:03:24,472 --> 00:03:26,374",IT'S COME AS A BIT OF A SHOCK.,Paul,1900-01-01 00:03:24.472,0.0,-0.3818,0.10000000149011612
"00:03:26,474 --> 00:03:28,909","SHOCK. WELL, OKAY, WHAT ELSE?",Laura,1900-01-01 00:03:26.474,0.5,0.1027,0.20000000298023224
"00:03:29,009 --> 00:03:32,380","WELL, I FEEL SAD, TOO.",Paul,1900-01-01 00:03:29.009,-0.5,-0.25,-0.30000001192092896
"00:03:33,581 --> 00:03:35,849",RIGHT. ,Laura,1900-01-01 00:03:33.581,0.2857142857142857,0.0,0.30000001192092896
,"YES, I DO.",Paul,1900-01-01 00:03:33.581,0.0,0.4019,0.800000011920929
"00:03:35,949 --> 00:03:37,818",YOU DON'T BELIEVE ME? ,Paul,1900-01-01 00:03:35.949,0.0,0.0,-0.800000011920929
, IT JUST DOESN'T LOOK THAT WAY.,Laura,1900-01-01 00:03:35.949,0.0,0.0,-0.699999988079071
"00:03:37,918 --> 00:03:41,855","IT LOOKS LIKE YOU'RE HOLDING BACK THIS HUGE SIGH OF RELIEF,",Laura,1900-01-01 00:03:37.918,0.19999999999999998,0.8087,-0.5
"00:03:41,955 --> 00:03:44,758",THIS HUGE GULP OF AIR TRAPPED IN YOUR LUNGS.,Laura,1900-01-01 00:03:41.955,0.09999999999999998,-0.2732,0.20000000298023224
"00:03:44,858 --> 00:03:47,495","SEE, I'M TRAINED TO SEE THAT STUFF, REMEMBER?",Laura,1900-01-01 00:03:44.858,0.0,0.0,0.0
"00:03:47,595 --> 00:03:51,865",MONITORING RESPIRATION-- THAT'S ANESTHESIOLOGY 101.,Laura,1900-01-01 00:03:47.595,0.0,0.0,-0.10000000149011612
"00:03:54,134 --> 00:03:56,003","GO AHEAD, LET IT GO.",Laura,1900-01-01 00:03:54.134,0.0,0.0,0.10000000149011612
